model_code,part_number,model_identifier,release,model_number,cpu,emc,size,color
# A1369
A1369,661-5732,MacBookAir3.2,Late 2010,MC503LL/A,1.86 GHz Intel Core 2 Duo SL9400,2392,13,Silver
A1369,661-5732,MacBookAir3.2,Late 2010,MC504LL/A,1.86 GHz Intel Core 2 Duo SL9400,2392,13,Silver
A1369,661-5732,MacBookAir3.2,Late 2010,MC905LL/A,2.13 GHz Intel Core 2 Duo SL9600,2392,13,Silver
A1369,661-6056,MacBookAir4.2,Mid 2011,MC965LL/A,1.7 GHz Intel Core i5-2557M,2469,13,Silver
A1369,661-6056,MacBookAir4.2,Mid 2011,MC966LL/A,1.7 GHz Intel Core i5-2557M,2469,13,Silver
A1369,661-6056,MacBookAir4.2,Mid 2011,MD226LL/A,1.8 GHz Intel Core i7-2677M,2469,13,Silver
# A1398
A1398,661-6529,MacBookPro10.1,Mid 2012,MC975LL/A,2.3 GHz Intel Core i7-3615QM,2512,15,Silver
A1398,661-6529,MacBookPro10.1,Mid 2012,MC976LL/A,2.6 GHz Intel Core i7-3720QM,2512,15,Silver
A1398,661-6529,MacBookPro10.1,Mid 2012,MD831LL/A,2.7 GHz Intel Core i7-3820QM,2512,15,Silver
A1398,661-8310,MacBookPro11.2,Late 2013,ME293LL/A,2.0 GHz Intel Core i7-4750HQ,2674,15,Silver
A1398,661-8310,MacBookPro11.3,Late 2013,ME294LL/A,2.3 GHz Intel Core i7-4850HQ,2745,15,Silver
A1398,661-8310,MacBookPro11.2,Late 2013,BTO,2.3 GHz Intel Core i7-4850HQ,2674,15,Silver
A1398,661-8310,MacBookPro11.3,Late 2013,ME874LL/A,2.6 GHz Intel Core i7-4960HQ,2745,15,Silver
A1398,661-8310,MacBookPro11.2,Late 2013,BTO,2.6 GHz Intel Core i7-4960HQ,2674,15,Silver
A1398,661-8310,MacBookPro11.2,Mid 2014,MGXA2LL/A,2.2 GHz Intel Core i7-4770HQ,2876,15,Silver
A1398,661-8310,MacBookPro11.2,Mid 2014,MGXC2LL/A,2.5 GHz Intel Core i7-4870HQ,2881,15,Silver
A1398,661-8310,MacBookPro11.2,Mid 2014,BTO,2.5 GHz Intel Core i7-4870HQ,2876,15,Silver
A1398,661-8310,MacBookPro11.3,Mid 2014,MGXG2LL/A,2.8 GHz Intel Core i7-4980HQ,2881,15,Silver
A1398,661-8310,MacBookPro11.3,Mid 2014,BTO,2.8 GHz Intel Core i7-4980HQ,2881,15,Silver
A1398,661-02532,MacBookPro11.4,Mid 2015,MJLQ2LL/A,2.2 GHz Intel Core i7-4770HQ,2909,15,Silver
A1398,661-02532,MacBookPro11.4,Mid 2015,BTO,2.5 GHz Intel Core i7-4870HQ,2909,15,Silver
A1398,661-02532,MacBookPro11.4,Mid 2015,MJLT2LL/A,2.5 GHz Intel Core i7-4870HQ,2909,15,Silver
A1398,661-02532,MacBookPro11.4,Mid 2015,MJLQ2LL/A,2.8 GHz Intel Core i7-4980HQ,2909,15,Silver
A1398,661-02532,MacBookPro11.4,Mid 2015,BTO,2.8 GHz Intel Core i7-4980HQ,2909,15,Silver
A1398,661-02532,MacBookPro11.5,Mid 2015,MJLT2LL/A,2.5 GHz Intel Core i7-4870HQ,2910,15,Silver
A1398,661-02532,MacBookPro11.5,Mid 2015,BTO,2.8 GHz Intel Core i7-4980HQ,2910,15,Silver
# A1425
