code#,name,emc,model,release,model#,cpu,ram,storage,gpu,size,os,color,tag
A1219,iPad,2311,iPad1.1,2010,MB292LL/A,1.0GHz Apple A4 S5L8930,256MB,16GB,Apple A4 S5L8930,9.7,iOS 5.1.1,Black/Silver,iPad
A1219,iPad,2311,iPad1.1,2010,MB293LL/A,1.0GHz Apple A4 S5L8930,256MB,32GB,Apple A4 S5L8930,9.7,iOS 5.1.1,Black/Silver,iPad
A1219,iPad,2311,iPad1.1,2010,MB294LL/A,1.0GHz Apple A4 S5L8930,256MB,64GB,Apple A4 S5L8930,9.7,iOS 5.1.1,Black/Silver,iPad
A1337,iPad 3G,2328,iPad1.1,2010,MC349LL/A,1.0GHz Apple A4 S5L8930,256MB,16GB,Apple A4 S5L8930,9.7,iOS 5.1.1,Black/Silver,iPad
A1337,iPad 3G,2328,iPad1.1,2010,MC496LL/A,1.0GHz Apple A4 S5L8930,256MB,32GB,Apple A4 S5L8930,9.7,iOS 5.1.1,Black/Silver,iPad
A1337,iPad 3G,2328,iPad1.1,2010,MC497LL/A,1.0GHz Apple A4 S5L8930,256MB,64GB,Apple A4 S5L8930,9.7,iOS 5.1.1,Black/Silver,iPad
A1395,iPad 2,2415,iPad2.1,2011,MC769LL/A,1.0GHz Apple A5 S5L8940,512MB,16GB,Apple A5 S5L8940,9.7,iOS 9.3.6,Black/Silver,iPad
A1395,iPad 2,2415,iPad2.1,2011,MC954LL/A,1.0GHz Apple A5 S5L8940,512MB,16GB,Apple A5 S5L8940,9.7,iOS 9.3.6,Black/Silver,iPad
A1395,iPad 2,2415,iPad2.1,2011,MC770LL/A,1.0GHz Apple A5 S5L8940,512MB,32GB,Apple A5 S5L8940,9.7,iOS 9.3.6,Black/Silver,iPad
A1395,iPad 2,2415,iPad2.1,2011,MC916LL/A,1.0GHz Apple A5 S5L8940,512MB,64GB,Apple A5 S5L8940,9.7,iOS 9.3.6,Black/Silver,iPad
A1395,iPad 2,2415,iPad2.1,2011,MC979LL/A,1.0GHz Apple A5 S5L8940,512MB,16GB,Apple A5 S5L8940,9.7,iOS 9.3.6,White/Silver,iPad
A1395,iPad 2,2415,iPad2.1,2011,MC989LL/A,1.0GHz Apple A5 S5L8940,512MB,16GB,Apple A5 S5L8940,9.7,iOS 9.3.6,White/Silver,iPad
A1395,iPad 2,2415,iPad2.1,2011,MC980LL/A,1.0GHz Apple A5 S5L8940,512MB,32GB,Apple A5 S5L8940,9.7,iOS 9.3.6,White/Silver,iPad
A1395,iPad 2,2415,iPad2.1,2011,MC981LL/A,1.0GHz Apple A5 S5L8940,512MB,64GB,Apple A5 S5L8940,9.7,iOS 9.3.6,White/Silver,iPad
A1395,iPad 2,2560,iPad2.4,2012,MC769LL/A,1.0GHz Apple A5 S5L8942,512MB,16GB,Apple A5 S5L8942,9.7,iOS 9.3.6,Black/Silver,iPad
A1395,iPad 2,2560,iPad2.4,2012,MC954LL/A,1.0GHz Apple A5 S5L8942,512MB,16GB,Apple A5 S5L8942,9.7,iOS 9.3.6,Black/Silver,iPad
A1395,iPad 2,2560,iPad2.4,2012,MC960LL/A,1.0GHz Apple A5 S5L8942,512MB,16GB,Apple A5 S5L8942,9.7,iOS 9.3.6,Black/Silver,iPad
A1395,iPad 2,2560,iPad2.4,2012,MC979LL/A,1.0GHz Apple A5 S5L8942,512MB,16GB,Apple A5 S5L8942,9.7,iOS 9.3.6,White/Silver,iPad
A1395,iPad 2,2560,iPad2.4,2012,MC989LL/A,1.0GHz Apple A5 S5L8942,512MB,16GB,Apple A5 S5L8942,9.7,iOS 9.3.6,White/Silver,iPad
A1396,iPad 2 3G AT&T,2416,iPad2.2,2011,MC773LL/A,1.0GHz Apple A5 S5L8940,512MB,16GB,Apple A5 S5L8940,9.7,iOS 9.3.6,Black/Silver,iPad
A1396,iPad 2 3G AT&T,2416,iPad2.2,2011,MC957LL/A,1.0GHz Apple A5 S5L8940,512MB,16GB,Apple A5 S5L8940,9.7,iOS 9.3.6,Black/Silver,iPad
